Codigo;Data;Ano;Mes;Prec;Tmed;Tmax;Tmin
83695;30/11/2014;2014;11;266,3;24,884;31,043333;20,703333
83695;31/12/2014;2014;12;103,9;26,840645;33,519355;22,187097
83695;31/01/2015;2015;1;12,7;29,411613;37,703226;23,23871
83695;28/02/2015;2015;2;103,2;27,847857;35,542857;23,025
83695;31/03/2015;2015;3;126,9;26,848387;33,380645;22,480645
83695;30/04/2015;2015;4;65,3;24,520667;30,59;20,28
83695;31/05/2015;2015;5;72,8;21,858065;27,429032;18,074194
83695;30/06/2015;2015;6;32,8;21,156;27,79;16,776667
83695;31/07/2015;2015;7;7,9;22,024516;28,696774;17,277419
83695;31/08/2015;2015;8;20;22,696129;29,86129;17,380645
83695;30/09/2015;2015;9;83,7;24,589333;31,143333;19,883333
83695;31/10/2015;2015;10;84,2;25,707097;32,958065;20,816129
83695;30/11/2015;2015;11;141,4;26,845333;32,766667;23,24
83695;31/12/2015;2015;12;209,1;27,345806;33,854839;22,770968
83695;31/01/2016;2016;1;168,5;26,760645;32,235484;22,903226
83695;29/02/2016;2016;2;100,9;28,029655;35,286207;23,234483
83695;31/03/2016;2016;3;143,1;27,051613;33,158065;23,016129
83695;30/04/2016;2016;4;29,3;26,880667;34,19;21,653333
83695;31/05/2016;2016;5;23,7;23,107742;29,522581;18,448387
83695;30/06/2016;2016;6;66;20,228;25,576667;16,39
83695;31/07/2016;2016;7;0,3;21,365806;28,341935;16,654839
83695;31/08/2016;2016;8;6,3;22,726452;30,887097;16,854839
83695;30/09/2016;2016;9;77,9;24,185333;31,533333;19,446667
83695;31/10/2016;2016;10;33;24,546452;30,690323;20,377419
83695;30/11/2016;2016;11;174,6;25,129333;31,173333;20,766667
83695;31/12/2016;2016;12;174,2;26,288387;32,351613;22,212903
83695;31/01/2017;2017;1;107,2;28,14;35,006452;23,235484
83695;28/02/2017;2017;2;140,6;26,853571;33,578571;22,671429
83695;31/03/2017;2017;3;59,1;26,516129;33,254839;21,9
83695;30/04/2017;2017;4;64,6;25,028667;31,36;20,703333
83695;31/05/2017;2017;5;64;22,589677;28,441935;18,196774
83695;30/06/2017;2017;6;52,7;21,86;28,476667;17,436667
83695;31/07/2017;2017;7;25,5;19,738065;25,693548;15,416129
83695;31/08/2017;2017;8;6,6;21,283226;28,390323;15,825806
83695;30/09/2017;2017;9;0;23,228667;31,51;17,053333
83695;31/10/2017;2017;10;15;26,149677;33,754839;21,219355
83695;30/11/2017;2017;11;214,2;25,083333;30,71;21,133333
83695;31/12/2017;2017;12;120,3;26,297419;31,845161;22,609677
83695;31/01/2018;2018;1;217,3;27,451613;34,216129;23,241935
83695;28/02/2018;2018;2;119,3;26,42;32,003571;22,596429
83695;31/03/2018;2018;3;236,7;26,654839;32,470968;23,119355
83695;30/04/2018;2018;4;64,6;24,367333;29,946667;20,663333
83695;31/05/2018;2018;5;14,3;22,374194;28,36129;18,093548
83695;30/06/2018;2018;6;16;22,434;29,01;17,986667
83695;31/07/2018;2018;7;43;21,618065;29,154839;16,109677
83695;31/08/2018;2018;8;52;21,563871;27,122581;17,677419
83695;30/09/2018;2018;9;60,8;23,563333;29,87;19,013333
83695;31/10/2018;2018;10;87,7;24,652903;30,416129;20,848387
83695;30/11/2018;2018;11;144,5;24,927333;30,516667;21,213333
83695;31/12/2018;2018;12;173,9;26,39871;32,464516;21,854839
83695;31/01/2019;2019;1;32,7;29,105161;36,774194;23,480645
83695;28/02/2019;2019;2;154;28,027143;34,464286;23,657143
83695;31/03/2019;2019;3;167,4;26,747097;33,1;22,983871
83695;30/04/2019;2019;4;76,9;26,303333;32,563333;22,293333
83695;31/05/2019;2019;5;49,5;24,796471;30,354839;21,176471
83695;30/06/2019;2019;6;3,1;NA;29,426667;NA
83695;31/07/2019;2019;7;1,1;21,215556;29,2;15,666667
83695;31/08/2019;2019;8;30,5;21,493548;28,23871;16,829032
83695;30/09/2019;2019;9;39;24,129333;30,96;19,36
83695;31/10/2019;2019;10;39,3;25,619355;32,96129;21,129032
83695;30/11/2019;2019;11;238,2;25,159333;30,93;21,506667
83695;31/12/2019;2019;12;233,6;25,990968;31,567742;22,148387
83695;31/01/2020;2020;1;322,9;26,657419;32,251613;22,945161
83695;29/02/2020;2020;2;352,2;26,301379;32,010345;22,772414
83695;31/03/2020;2020;3;NA;25,312632;30,642105;21,66
83695;30/04/2020;2020;4;39,4;23,578519;29,306667;19,92
83695;31/05/2020;2020;5;NA;NA;NA;NA
83695;30/06/2020;2020;6;2,8;21,435333;28,926667;16,296667
83695;31/07/2020;2020;7;8,6;21,520645;28,829032;16,474194
83695;31/08/2020;2020;8;24,6;21,852903;29,112903;16,26129
83695;30/09/2020;2020;9;37,3;24,955333;32,823333;19,293333
83695;31/10/2020;2020;10;144,4;25,000667;30,812903;20,916129
83695;30/11/2020;2020;11;NA;NA;NA;NA
83695;31/12/2020;2020;12;187,9;26,439355;33,041935;22,303226
83695;31/01/2021;2021;1;98,5;27,227097;34,245161;21,987097
83695;28/02/2021;2021;2;142;26,2688;32,389286;22,228571
83695;31/03/2021;2021;3;56,8;26,854;34,243333;21,774194
83695;30/04/2021;2021;4;37,6;23,846667;30,61;18,7
83695;31/05/2021;2021;5;NA;NA;NA;NA
83695;30/06/2021;2021;6;34,2;21,021379;27,79;16,563333
83695;31/07/2021;2021;7;0;20,208387;27,916129;14,387097
83695;31/08/2021;2021;8;24,8;21,836774;29,16129;16,883871
83695;30/09/2021;2021;9;49,7;24,377333;31,416667;19,936667
83695;31/10/2021;2021;10;236;23,200645;27,887097;20,051613
83695;30/11/2021;2021;11;190,3;23,767333;29,366667;19,716667
83695;31/12/2021;2021;12;351,9;25,076667;30,706452;21,303226
83695;31/01/2022;2022;1;196,2;26,805333;32,780645;22,419355
83695;28/02/2022;2022;2;436,7;25,967857;31,803571;22,378571
83695;31/03/2022;2022;3;NA;NA;NA;NA
83695;30/04/2022;2022;4;200;NA;32,02;NA
83695;31/05/2022;2022;5;31,4;NA;29,064516;NA
83695;30/06/2022;2022;6;6,9;19,682857;27,946667;14,645455
83695;31/07/2022;2022;7;0;21,909032;29,651613;16,254839
83695;31/08/2022;2022;8;1,8;22,000645;28,916129;16,493548
83695;30/09/2022;2022;9;47,1;22,415333;29,076667;17,526667
83695;31/10/2022;2022;10;148;25,092;31,419355;21,009677
83695;30/11/2022;2022;11;255,2;23,561333;28,643333;19,593333
83695;31/12/2022;2022;12;258,5;25,159355;30,316129;21,793548
