Nome: ITAPERUNA
Codigo Estacao: 83695
Latitude: -21.20444444
Longitude: -41.90555555
Altitude: 123.6
Situacao: Operante
Data Inicial: 1993-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);
2013-01-31;200,7;32,493548;26,7;22,735484;
2013-02-28;72,1;33,689286;27,225;22,578571;
2013-03-31;275;31,006452;25,767097;22,3;
2013-04-30;18,6;28,896667;23,376667;19,646667;
2013-05-31;30,1;28,480645;21,994194;17,43871;
2013-06-30;31,6;28,623333;22,002667;17,67;
2013-07-31;16,2;27,777419;21,153548;16,409677;
2013-08-31;34,1;29,164516;21,548387;15,790323;
2013-09-30;51,9;29,73;23,084;18,29;
2013-10-31;49,1;29,803226;23,741935;19,422581;
2013-11-30;159;30,98;24,807333;20,603333;
2013-12-31;436,1;31,158065;25,567742;22,235484;
2014-01-31;21;34,729032;27,676129;22,76129;
2014-02-28;66,9;35,042857;27,761429;22,7;
2014-03-31;139,2;31,974194;26,119355;22,158065;
2014-04-30;102,1;30,293333;24,588;20,886667;
2014-05-31;47;28,922581;22,508387;17,612903;
2014-06-30;6,3;28,73;21,701333;16,916667;
2014-07-31;28,8;26,951613;20,993548;16,706452;
2014-08-31;18,9;29,103226;21,405161;15,651613;
2014-09-30;10,7;32,286667;24,056667;17,876667;
2014-10-31;158,8;31,790323;24,457419;19,032258;
2014-11-30;266,3;31,043333;24,884;20,703333;
2014-12-31;103,9;33,519355;26,840645;22,187097;
2015-01-31;12,7;37,703226;29,411613;23,23871;
2015-02-28;103,2;35,542857;27,847857;23,025;
2015-03-31;126,9;33,380645;26,848387;22,480645;
2015-04-30;65,3;30,59;24,520667;20,28;
2015-05-31;72,8;27,429032;21,858065;18,074194;
2015-06-30;32,8;27,79;21,156;16,776667;
2015-07-31;7,9;28,696774;22,024516;17,277419;
2015-08-31;20;29,86129;22,696129;17,380645;
2015-09-30;83,7;31,143333;24,589333;19,883333;
2015-10-31;84,2;32,958065;25,707097;20,816129;
2015-11-30;141,4;32,766667;26,845333;23,24;
2015-12-31;209,1;33,854839;27,345806;22,770968;
2016-01-31;168,5;32,235484;26,760645;22,903226;
2016-02-29;100,9;35,286207;28,029655;23,234483;
2016-03-31;143,1;33,158065;27,051613;23,016129;
2016-04-30;29,3;34,19;26,880667;21,653333;
2016-05-31;23,7;29,522581;23,107742;18,448387;
2016-06-30;66;25,576667;20,228;16,39;
2016-07-31;,3;28,341935;21,365806;16,654839;
2016-08-31;6,3;30,887097;22,726452;16,854839;
2016-09-30;77,9;31,533333;24,185333;19,446667;
2016-10-31;33;30,690323;24,546452;20,377419;
2016-11-30;174,6;31,173333;25,129333;20,766667;
2016-12-31;174,2;32,351613;26,288387;22,212903;
2017-01-31;107,2;35,006452;28,14;23,235484;
2017-02-28;140,6;33,578571;26,853571;22,671429;
2017-03-31;59,1;33,254839;26,516129;21,9;
2017-04-30;64,6;31,36;25,028667;20,703333;
2017-05-31;64;28,441935;22,589677;18,196774;
2017-06-30;52,7;28,476667;21,86;17,436667;
2017-07-31;25,5;25,693548;19,738065;15,416129;
2017-08-31;6,6;28,390323;21,283226;15,825806;
2017-09-30;0;31,51;23,228667;17,053333;
